field,code,country,year,number,percent
Health and Welfare,COL,Colombia,2019,5.91696,0.05917
Agriculture Forestry Fisheries and Veterinary,COL,Colombia,2019,2.02547,0.02025
Engineering Manufacturing and Construction,COL,Colombia,2019,19.09437,0.19094
Information and Communication Technologies,COL,Colombia,2019,3.39636,0.03396
Natural Sciences Mathematics and Statistics,COL,Colombia,2019,2.1394,0.0214
Other Fields,COL,Colombia,2019,67.42744,0.6742744
Health and Welfare,AUS,Australia,2019,18.32192,0.18322
Agriculture Forestry Fisheries and Veterinary,AUS,Australia,2019,0.68274,0.00683
Engineering Manufacturing and Construction,AUS,Australia,2019,8.19549,0.08195
Information and Communication Technologies,AUS,Australia,2019,5.67826,0.05678
Natural Sciences Mathematics and Statistics,AUS,Australia,2019,4.75658,0.04757
Other Fields,AUS,Australia,2019,62.36501,0.62365
Health and Welfare,AUT,Austria,2019,8.71259,0.08713
Agriculture Forestry Fisheries and Veterinary,AUT,Austria,2019,1.59222,0.01592
Engineering Manufacturing and Construction,AUT,Austria,2019,20.9989,0.2100
Information and Communication Technologies,AUT,Austria,2019,4.47774,0.04478
Natural Sciences Mathematics and Statistics,AUT,Austria,2019,5.92011,0.05920
Other Fields,AUT,Austria,2019,58.29844,0.5829844
Health and Welfare,CAN,Canada,2019,15.69772,0.15698
Agriculture Forestry Fisheries and Veterinary,CAN,Canada,2019,1.04856,0.01049
Engineering Manufacturing and Construction,CAN,Canada,2019,12.53863,0.12539
Information and Communication Technologies,CAN,Canada,2019,4.39666,0.04397
Natural Sciences Mathematics and Statistics,CAN,Canada,2019,8.11898,0.08119
Other Fields,CAN,Canada,2019,58.19945,0.58199
Health and Welfare,BEL,Belgium,2019,26.57249,0.26572
Agriculture Forestry Fisheries and Veterinary,BEL,Belgium,2019,1.97959,0.01980
Engineering Manufacturing and Construction,BEL,Belgium,2019,11.52462,0.11525
Information and Communication Technologies,BEL,Belgium,2019,2.13597,0.02136
Natural Sciences Mathematics and Statistics,BEL,Belgium,2019,3.89279,0.03893
Other Fields,BEL,Belgium,2019,53.89454,0.53895
Health and Welfare,CRI,Costa Rica,2019,14.08326,0.14083
Agriculture Forestry Fisheries and Veterinary,CRI,Costa Rica,2019,1.21598,0.01216
Engineering Manufacturing and Construction,CRI,Costa Rica,2019,7.46895,0.07469
Information and Communication Technologies,CRI,Costa Rica,2019,5.45675,0.05457
Natural Sciences Mathematics and Statistics,CRI,Costa Rica,2019,2.18746,0.02187
Other Fields,CRI,Costa Rica,2019,69.58760,0.69588
Health and Welfare,DNK,Denmark,2019,20.47486,0.20475
Agriculture Forestry Fisheries and Veterinary,DNK,Denmark,2019,1.22471,0.01225
Engineering Manufacturing and Construction,DNK,Denmark,2019,12.07511,0.12075
Information and Communication Technologies,DNK,Denmark,2019,4.91944,0.04919
Natural Sciences Mathematics and Statistics,DNK,Denmark,2019,5.54331,0.05543
Other Fields,DNK,Denmark,2019,55.76257,0.55763
Health and Welfare,FIN,Finland,2019,21.31775,0.21318
Agriculture Forestry Fisheries and Veterinary,FIN,Finland,2019,2.17818,0.02178
Engineering Manufacturing and Construction,FIN,Finland,2019,16.56165,0.16562
Information and Communication Technologies,FIN,Finland,2019,7.35434,0.07354
Natural Sciences Mathematics and Statistics,FIN,Finland,2019,4.46308,0.04463
Other Fields,FIN,Finland,2019,48.12500,0.48125
Health and Welfare,FRA,France,2019,14.09941,0.14099
Agriculture Forestry Fisheries and Veterinary,FRA,France,2019,1.56172,0.01562
Engineering Manufacturing and Construction,FRA,France,2019,13.99536,0.13995
Information and Communication Technologies,FRA,France,2019,3.58676,0.03587
Natural Sciences Mathematics and Statistics,FRA,France,2019,8.18728,0.08187
