COU,Indicator,Time,Value,id
AUS,Gender wage gap at 1st decile (bottom),2000,9.8,036
AUS,Gender wage gap at 1st decile (bottom),2005,2.0,036
AUS,Gender wage gap at 1st decile (bottom),2010,5.5,036
AUS,Gender wage gap at 1st decile (bottom),2015,6.7,036
AUS,Gender wage gap at 1st decile (bottom),2016,9.1,036
AUS,Gender wage gap at 1st decile (bottom),2017,5.8,036
AUS,Gender wage gap at 1st decile (bottom),2018,5.0,036
AUS,Gender wage gap at 9th decile (top),2000,26.3,036
AUS,Gender wage gap at 9th decile (top),2005,25.9,036
AUS,Gender wage gap at 9th decile (top),2010,27.3,036
AUS,Gender wage gap at 9th decile (top),2015,24.4,036
AUS,Gender wage gap at 9th decile (top),2016,20.0,036
AUS,Gender wage gap at 9th decile (top),2017,16.9,036
AUS,Gender wage gap at 9th decile (top),2018,16.5,036
AUT,Gender wage gap at 1st decile (bottom),2005,30.5,040
AUT,Gender wage gap at 1st decile (bottom),2010,26.5,040
AUT,Gender wage gap at 1st decile (bottom),2015,21.9,040
AUT,Gender wage gap at 1st decile (bottom),2016,19.0,040
AUT,Gender wage gap at 1st decile (bottom),2017,18.7,040
AUT,Gender wage gap at 1st decile (bottom),2018,18.1,040
AUT,Gender wage gap at 9th decile (top),2005,27.7,040
AUT,Gender wage gap at 9th decile (top),2010,24.5,040
AUT,Gender wage gap at 9th decile (top),2015,22.3,040
AUT,Gender wage gap at 9th decile (top),2016,21.0,040
AUT,Gender wage gap at 9th decile (top),2017,20.7,040
AUT,Gender wage gap at 9th decile (top),2018,20.1,040
BEL,Gender wage gap at 1st decile (bottom),2000,16.7,056
BEL,Gender wage gap at 1st decile (bottom),2005,11.9,056
BEL,Gender wage gap at 1st decile (bottom),2010,8.1,056
BEL,Gender wage gap at 1st decile (bottom),2015,4.6,056
BEL,Gender wage gap at 1st decile (bottom),2016,4.3,056
BEL,Gender wage gap at 1st decile (bottom),2017,5.6,056
BEL,Gender wage gap at 9th decile (top),2000,20.4,056
BEL,Gender wage gap at 9th decile (top),2005,18.0,056
BEL,Gender wage gap at 9th decile (top),2010,12.5,056
BEL,Gender wage gap at 9th decile (top),2015,9.1,056
BEL,Gender wage gap at 9th decile (top),2016,10.0,056
BEL,Gender wage gap at 9th decile (top),2017,6.5,056
CAN,Gender wage gap at 1st decile (bottom),2000,21.1,124
CAN,Gender wage gap at 1st decile (bottom),2005,18.7,124
CAN,Gender wage gap at 1st decile (bottom),2010,16.5,124
CAN,Gender wage gap at 1st decile (bottom),2015,13.5,124
CAN,Gender wage gap at 1st decile (bottom),2016,12.5,124
CAN,Gender wage gap at 1st decile (bottom),2017,13.5,124
CAN,Gender wage gap at 1st decile (bottom),2018,12.1,124
CAN,Gender wage gap at 1st decile (bottom),2019,10.0,124
CAN,Gender wage gap at 9th decile (top),2000,21.1,124
CAN,Gender wage gap at 9th decile (top),2005,17.5,124
