year,state,wvalue,lvalue
1995,Australia,1867,female
1996,Australia,1923,female
1997,Australia,1996,female
1998,Australia,2043,female
1999,Australia,2081,female
2000,Australia,2187,female
2001,Australia,2286,female
2002,Australia,2347,female
2003,Australia,2450,female
2004,Australia,2552,female
2005,Australia,2680,female
2006,Australia,2790,female
2007,Australia,2931,female
2008,Australia,3047,female
2009,Australia,3181,female
2010,Australia,3341,female
2011,Australia,3473,female
1995,Australia,2846,male
1996,Australia,2924,male
1997,Australia,3013,male
1998,Australia,3116,male
1999,Australia,3172,male
2000,Australia,3299,male
2001,Australia,3439,male
2002,Australia,3598,male
2003,Australia,3790,male
2004,Australia,3893,male
2005,Australia,4102,male
2006,Australia,4289,male
2007,Australia,4502,male
2008,Australia,4689,male
2009,Australia,4903,male
2010,Australia,5152,male
2011,Australia,5373,male
1995,Austria,1357,female
1996,Austria,1357,female
1997,Austria,1357,female
1998,Austria,1375,female
1999,Austria,1407,female
2000,Austria,1433,female
2001,Austria,1461,female
2002,Austria,1494,female
2003,Austria,1520,female
2004,Austria,1541,female
2005,Austria,1583,female
2006,Austria,1631,female
2007,Austria,1684,female
2008,Austria,1738,female
2009,Austria,1783,female
2010,Austria,1803,female
2011,Austria,1803,female
1995,Austria,2262,male
1996,Austria,2262,male
1997,Austria,2262,male
1998,Austria,2325,male
1999,Austria,2373,male
2000,Austria,2442,male
2001,Austria,2455,male
2002,Austria,2487,male
2003,Austria,2523,male
2004,Austria,2559,male
2005,Austria,2618,male
2006,Austria,2706,male
2007,Austria,2814,male
2008,Austria,2898,male
2009,Austria,2909,male
2010,Austria,2922,male
2011,Austria,2922,male
1995,Azerbaijan,20,female
1996,Azerbaijan,20,female
1997,Azerbaijan,20,female
1998,Azerbaijan,20,female
1999,Azerbaijan,20,female
2000,Azerbaijan,27,female
2001,Azerbaijan,30,female
2002,Azerbaijan,36,female
2003,Azerbaijan,46,female
2004,Azerbaijan,58,female
2005,Azerbaijan,75,female
2006,Azerbaijan,91,female
2007,Azerbaijan,140,female
2008,Azerbaijan,184,female
2009,Azerbaijan,184,female
2010,Azerbaijan,226,female
2011,Azerbaijan,226,female
1995,Azerbaijan,45,male
1996,Azerbaijan,45,male
1997,Azerbaijan,45,male
1998,Azerbaijan,45,male
1999,Azerbaijan,45,male
2000,Azerbaijan,59,male
2001,Azerbaijan,72,male
2002,Azerbaijan,84,male
2003,Azerbaijan,103,male
2004,Azerbaijan,131,male
2005,Azerbaijan,162,male
2006,Azerbaijan,192,male
2007,Azerbaijan,277,male
2008,Azerbaijan,324,male
2009,Azerbaijan,324,male
2010,Azerbaijan,413,male
2011,Azerbaijan,413,male
1995,Belarus,900421,female
1996,Belarus,1449480,female
1997,Belarus,2926400,female
1998,Belarus,7304730,female
1999,Belarus,31051000,female
2000,Belarus,78700,female
2001,Belarus,150434,female
2002,Belarus,198805,female
2003,Belarus,265471,female
2004,Belarus,388228,female
2005,Belarus,495046,female
2006,Belarus,589475,female
2007,Belarus,694843,female
2008,Belarus,848048,female
2009,Belarus,924671,female
2010,Belarus,1373090,female
2011,Belarus,1373090,female
1995,Belarus,1139020,male
